"subject","activity","frequency_of_body_acceleration_jerk_mean (x_axis)","frequency_of_body_acceleration_jerk_mean (y_axis)","frequency_of_body_acceleration_jerk_mean (z_axis)","frequency_of_body_acceleration_jerk_standard_deviation (x_axis)","frequency_of_body_acceleration_jerk_standard_deviation (y_axis)","frequency_of_body_acceleration_jerk_standard_deviation (z_axis)","frequency_of_body_acceleration_magnitude_mean","frequency_of_body_acceleration_magnitude_standard_deviation","frequency_of_body_acceleration_mean (x_axis)","frequency_of_body_acceleration_mean (y_axis)","frequency_of_body_acceleration_mean (z_axis)","frequency_of_body_acceleration_standard_deviation (x_axis)","frequency_of_body_acceleration_standard_deviation (y_axis)","frequency_of_body_acceleration_standard_deviation (z_axis)","frequency_of_body_body_acceleration_jerk_magnitude_mean","frequency_of_body_body_acceleration_jerk_magnitude_standard_deviation","frequency_of_body_body_gyroscopic_jerk_magnitude_mean","frequency_of_body_body_gyroscopic_jerk_magnitude_standard_deviation","frequency_of_body_body_gyroscopic_magnitude_mean","frequency_of_body_body_gyroscopic_magnitude_standard_deviation","frequency_of_body_gyroscopic_mean (x_axis)","frequency_of_body_gyroscopic_mean (y_axis)","frequency_of_body_gyroscopic_mean (z_axis)","frequency_of_body_gyroscopic_standard_deviation (x_axis)","frequency_of_body_gyroscopic_standard_deviation (y_axis)","frequency_of_body_gyroscopic_standard_deviation (z_axis)","time_of_body_acceleration_jerk_magnitude_mean","time_of_body_acceleration_jerk_magnitude_standard_deviation","time_of_body_acceleration_jerk_mean (x_axis)","time_of_body_acceleration_jerk_mean (y_axis)","time_of_body_acceleration_jerk_mean (z_axis)","time_of_body_acceleration_jerk_standard_deviation (x_axis)","time_of_body_acceleration_jerk_standard_deviation (y_axis)","time_of_body_acceleration_jerk_standard_deviation (z_axis)","time_of_body_acceleration_magnitude_mean","time_of_body_acceleration_magnitude_standard_deviation","time_of_body_acceleration_mean (x_axis)","time_of_body_acceleration_mean (y_axis)","time_of_body_acceleration_mean (z_axis)","time_of_body_acceleration_standard_deviation (x_axis)","time_of_body_acceleration_standard_deviation (y_axis)","time_of_body_acceleration_standard_deviation (z_axis)","time_of_body_gyroscopic_jerk_magnitude_mean","time_of_body_gyroscopic_jerk_magnitude_standard_deviation","time_of_body_gyroscopic_jerk_mean (x_axis)","time_of_body_gyroscopic_jerk_mean (y_axis)","time_of_body_gyroscopic_jerk_mean (z_axis)","time_of_body_gyroscopic_jerk_standard_deviation (x_axis)","time_of_body_gyroscopic_jerk_standard_deviation (y_axis)","time_of_body_gyroscopic_jerk_standard_deviation (z_axis)","time_of_body_gyroscopic_magnitude_mean","time_of_body_gyroscopic_magnitude_standard_deviation","time_of_body_gyroscopic_mean (x_axis)","time_of_body_gyroscopic_mean (y_axis)","time_of_body_gyroscopic_mean (z_axis)","time_of_body_gyroscopic_standard_deviation (x_axis)","time_of_body_gyroscopic_standard_deviation (y_axis)","time_of_body_gyroscopic_standard_deviation (z_axis)","time_of_gravity_acceleration_magnitude_mean","time_of_gravity_acceleration_magnitude_standard_deviation","time_of_gravity_acceleration_mean (x_axis)","time_of_gravity_acceleration_mean (y_axis)","time_of_gravity_acceleration_mean (z_axis)","time_of_gravity_acceleration_standard_deviation (x_axis)","time_of_gravity_acceleration_standard_deviation (y_axis)","time_of_gravity_acceleration_standard_deviation (z_axis)"
1,"LAYING",-0.7637302216625,-0.731317664901961,-0.706092561,-0.681314309335417,-0.684613243939216,-0.672797433054902,-0.735161257085417,-0.742007735835417,-0.755200071875,-0.666886082206471,-0.688537821588235,-0.667969111666667,-0.661992997707843,-0.629905273019608,-0.686317835709804,-0.731342995411765,-0.69613242155,-0.72598975033125,-0.664805728505882,-0.704304946831373,-0.739379361197708,-0.674893491376471,-0.682297886964706,-0.707314140163958,-0.680444184862745,-0.673491470005882,-0.730378004354167,-0.638183360527083,-0.726221206101961,-0.683543901392157,-0.746031266104167,-0.62189041945098,-0.610515842921569,-0.620031874,-0.712551008039216,-0.612360451954902,-0.690064990137255,-0.708237454235294,-0.736701306333333,-0.652193610592157,-0.671175293596078,-0.689507654075,-0.723448036745098,-0.611993098498039,-0.701413238019608,-0.684642087541177,-0.722916660520833,-0.632705441992745,-0.604634051053529,-0.61171443305,-0.693657826431373,-0.61093572557451,-0.707477813552941,-0.724600186745098,-0.765965970729167,-0.597102681254902,-0.595076853784314,-0.6158274605,-0.697418765070588,-0.589883173616275,-0.696750023768627,-0.713661172862745,-0.7753321474375,-0.623752615627451,-0.64833422,-0.662797022
1,"SITTING",-0.64100973161875,-0.654237951229167,-0.640098532728889,-0.784169191770833,-0.791453725375,-0.800657562488889,-0.629102059827083,-0.7524096744375,-0.652694309864583,-0.672067299570833,-0.658371271088889,-0.781818407604167,-0.796614476895833,-0.800014032622222,-0.637791252239583,-0.772977205183333,-0.641879157875,-0.749103776175,-0.635548173986667,-0.786277856191111,-0.62989908229375,-0.635822829152083,-0.629424854088889,-0.781375890902083,-0.781138865020833,-0.785666851177778,-0.683533941221458,-0.768874468145833,-0.7542316221875,-0.7523099086,-0.744169735333333,-0.698267851222917,-0.724966941902222,-0.723797616829167,-0.71875347720625,-0.781787699352083,-0.765449133666667,-0.7586939156,-0.749366052966667,-0.652117923645833,-0.654792273555556,-0.679584454554167,-0.676390171748889,-0.813511566733333,-0.74699446245625,-0.732483252555556,-0.703936187520833,-0.771936194291667,-0.79153460796,-0.766523217247917,-0.694451132839583,-0.781034118933333,-0.7451701092125,-0.747388412377778,-0.738777684073542,-0.728532752572083,-0.744587119102222,-0.761096769039583,-0.701649289404444,-0.797264483743778,-0.754758463875,-0.7558738556,-0.741100649041667,-0.67466641665625,-0.678438784411111,-0.677488583497917
1,"STANDING",-0.745516625840741,-0.743697932923529,-0.760883924331296,-0.767848304240741,-0.773534158231373,-0.767303793075926,-0.797270679333333,-0.773866435511111,-0.726344769768333,-0.726633489381961,-0.740718801944444,-0.771279317442593,-0.77169719767451,-0.767306166351852,-0.798938749571961,-0.760736112372549,-0.785466874568518,-0.754156273924074,-0.784370273087037,-0.752006456888889,-0.759625754505796,-0.778924108284314,-0.795404112914537,-0.768838202242593,-0.768857344811765,-0.771333415212963,-0.703181798353704,-0.768639942425926,-0.701028304939216,-0.70043753062963,-0.70359559315,-0.799014490890196,-0.768701418648148,-0.770478274574074,-0.684144472515686,-0.774456390511765,-0.73590547814902,-0.736526241196852,-0.737910212222222,-0.785768002398039,-0.783298670361111,-0.785880473574074,-0.724296512762963,-0.767490107812963,-0.688831004621529,-0.699638953370926,-0.702731614859259,-0.777981894176471,-0.766213883351852,-0.770139649740741,-0.707710429782353,-0.770871190039216,-0.677558677760784,-0.700154141794444,-0.703526811694444,-0.771346713176471,-0.771246816635185,-0.773430454425926,-0.704687404937037,-0.768238430148148,-0.721151015294118,-0.719746500253704,-0.720707643092593,-0.787972327743137,-0.785857458240741,-0.789546173546296
1,"WALKING",-0.214678699192473,-0.216642423926042,-0.220755881072917,-0.175262124596774,-0.166285141373958,-0.181397747203333,-0.18145074888172,-0.194137295812903,-0.221447181797849,-0.229651984691771,-0.230154836545833,-0.182844193008602,-0.177259037552083,-0.169669928418125,-0.186805229916667,-0.1873732518125,-0.173740700053763,-0.188573152741935,-0.187296771582292,-0.187904947869792,-0.191536165537634,-0.186234966239583,-0.203242874969792,-0.194096507550538,-0.169954832,-0.173262556265208,-0.228552362291398,-0.185065279736559,-0.213331390384375,-0.199751739102083,-0.201578510623656,-0.162632974077917,-0.163603858715417,-0.168241173504301,-0.219339639144792,-0.175278592365729,-0.209794635134375,-0.185609036986458,-0.190813947964516,-0.187161730065625,-0.183602305309375,-0.177870213343011,-0.212550116842396,-0.173157615628552,-0.22230855315625,-0.208520543515625,-0.224281258321505,-0.171038909113646,-0.169622453823958,-0.158489537332258,-0.2201491489375,-0.180426289913021,-0.210943932969792,-0.205946973852083,-0.228455426408602,-0.181314719412604,-0.1833623396875,-0.168543287784946,-0.21655274625,-0.189105134297917,-0.212114713754167,-0.21097404559375,-0.204869467688172,-0.191736472635417,-0.189087343746875,-0.173357436839785
1,"WALKING_DOWNSTAIRS",-0.0991837902431373,-0.0920368784354167,-0.1239561433125,-0.13986346454902,-0.197897086964583,-0.20603826830625,-0.124047077103922,-0.159583244037255,-0.0926253393078431,-0.0878934265166667,-0.0936184353291667,-0.139874002676471,-0.169035999297917,-0.153165683145833,-0.161429873195833,-0.161595286833333,-0.0881158316784314,-0.150545813534118,-0.121191027416667,-0.148793205983333,-0.171023801577451,-0.157899372958333,-0.109451678875,-0.222443050980392,-0.196832918222917,-0.167989413989583,-0.135574628933333,-0.185322572073922,-0.12241613515375,-0.121318091404167,-0.147141424168627,-0.153934585364583,-0.122806985977083,-0.190572403923529,-0.107587239785417,-0.161246831297917,-0.195592243102083,-0.19211400225,-0.185479928568627,-0.174961380229167,-0.205016999279167,-0.195771048094118,-0.12158140570625,-0.19453325058125,-0.0956823432270833,-0.0872869065,-0.0850377366578431,-0.153999768672917,-0.125007653585417,-0.147272081556863,-0.117339621875,-0.2310894936125,-0.15074181491875,-0.14165293690625,-0.126921185029412,-0.227821836427083,-0.201962297406875,-0.145858952618216,-0.0872219476875,-0.177297729447917,-0.195363483482917,-0.155579502502083,-0.149612407666667,-0.1253762649625,-0.128869071375,-0.154620672639216
1,"WALKING_UPSTAIRS",-0.299372996313725,-0.345834340924074,-0.330913633425926,-0.330852973717647,-0.363375072657407,-0.34182820062037,-0.307603410115686,-0.291251973984314,-0.285856181662745,-0.319395389005556,-0.301996776740741,-0.306953608196078,-0.349432209309259,-0.33694179645,-0.335085404101852,-0.32082984781463,-0.323100907523529,-0.299383300098039,-0.32821487602037,-0.311441610703704,-0.307063461117647,-0.318346109437037,-0.301276964768519,-0.309578073117647,-0.336197296833333,-0.311264800407407,-0.298907205437255,-0.342712203470588,-0.318174553481481,-0.314111523094444,-0.282100909364706,-0.337588184,-0.326164084703704,-0.329487091215686,-0.319592505689259,-0.347215239924074,-0.323244097466667,-0.295339824216667,-0.286193481270588,-0.334441675912963,-0.344432422814815,-0.308955075864118,-0.290626326074074,-0.315952272462963,-0.290664957148148,-0.269595576172222,-0.280670792370588,-0.337732180840741,-0.311615829838889,-0.318294815117647,-0.327971740388889,-0.342274714148148,-0.303541614042593,-0.28161051322963,-0.293443172627451,-0.347142549601852,-0.331210587974074,-0.320467705509804,-0.312420866351852,-0.325898164983333,-0.289210649425926,-0.252755308807407,-0.27339025012549,-0.324928124553704,-0.313365211337037,-0.323254369678431
2,"LAYING",-0.792227201458333,-0.802591994145833,-0.7978202825,-0.665469013189583,-0.6759668749125,-0.679285967627083,-0.783348297041667,-0.64041433250625,-0.79178106034375,-0.8013492011375,-0.792138368083333,-0.68972254440625,-0.698022489739583,-0.688465135958333,-0.798866922125,-0.6512324108125,-0.784026788729167,-0.678224012785417,-0.798453537041667,-0.649442074395833,-0.809818292770833,-0.815913449208333,-0.811156825354167,-0.652602360327083,-0.660799512429167,-0.638321130359583,-0.793098272727083,-0.705905252454167,-0.72351945369375,-0.712894572960417,-0.707459371027083,-0.779293124229167,-0.767706877833333,-0.7695174586625,-0.805344515197917,-0.743282130477083,-0.68184682785,-0.678790836375,-0.692767581041875,-0.790487849916667,-0.787401407125,-0.772663862104167,-0.789895191020833,-0.714791106125,-0.772030590691667,-0.765216882189583,-0.796215777088333,-0.7608574294,-0.749151399533333,-0.74318362678125,-0.801407164945833,-0.715698026454167,-0.7252379364,-0.721719300958333,-0.762494662085417,-0.77724900009375,-0.773857553720833,-0.7533210893125,-0.795442050985417,-0.729680754525,-0.700021829358333,-0.6940399489375,-0.7126773972,-0.7816657170625,-0.778787738958333,-0.772284066541667
2,"SITTING",-0.764723495588958,-0.75319804404,-0.756167053715556,-0.750333933495833,-0.751032007644444,-0.749127887735556,-0.728781087847917,-0.800081128664583,-0.76733121,-0.777515194266667,-0.755657814228889,-0.7109567834375,-0.736117517388889,-0.721751153804444,-0.711916083888889,-0.810185304437778,-0.712938716952292,-0.79083463463125,-0.707171941957778,-0.79178086584,-0.750889471089583,-0.737975756153333,-0.73492434882,-0.769665711777292,-0.781775112002222,-0.789087462555556,-0.772108225458333,-0.698684805835417,-0.801503375771111,-0.793077670288889,-0.7770841076875,-0.650256701980889,-0.652728644251111,-0.651172328297792,-0.782799042911111,-0.673523718455556,-0.793558730168889,-0.80840006578,-0.801427881002083,-0.69046304848,-0.685022560466667,-0.687273055044583,-0.778678410822222,-0.703124392175556,-0.782008083466667,-0.764707828488889,-0.773380889208333,-0.660801656377778,-0.645172762315556,-0.678489620854167,-0.783198600511111,-0.696715822222222,-0.785621743666667,-0.7765887026,-0.7719993163125,-0.622938474610667,-0.623829340377111,-0.644595187525,-0.763428921784444,-0.660872145644444,-0.813034401666667,-0.7976606072,-0.7944314771625,-0.668546845266667,-0.676366341,-0.665951096825
2,"STANDING",-0.690068311425926,-0.688611034407407,-0.683789242841296,-0.757704804592593,-0.755903657777778,-0.7502134765,-0.690883081740741,-0.762523347296296,-0.709722919653704,-0.689973924896296,-0.683126077863148,-0.776716052566667,-0.753726059712963,-0.754505959937037,-0.693747665798148,-0.759005328037037,-0.686669504462963,-0.759381255833333,-0.680176941740741,-0.749780186037037,-0.690384679444444,-0.68235802087037,-0.685070778624074,-0.765081226888889,-0.752601045537037,-0.754169498259259,-0.728769049759259,-0.772185239364815,-0.754960440831482,-0.757047839337037,-0.765746526807407,-0.743929441646481,-0.744933502935185,-0.753338220092593,-0.72768850572963,-0.77342766312963,-0.752832856462963,-0.757304892574074,-0.765051979474074,-0.706381036494444,-0.714626188037037,-0.714467436051852,-0.70835809275,-0.772670133388889,-0.742453560005556,-0.744080065411111,-0.746445635555556,-0.772133888981481,-0.771004972644444,-0.773665013177778,-0.709894096203704,-0.77434126972963,-0.76226842687963,-0.760003189355556,-0.768084856840741,-0.782356756107407,-0.775721275907407,-0.783401263740741,-0.726300929851852,-0.764066964122222,-0.755127044166667,-0.755576965131482,-0.764320014222222,-0.730053765490741,-0.725353164240741,-0.73177098173963
2,"WALKING",-0.301090198754386,-0.328347019933333,-0.31107483125,-0.335501265052632,-0.33393119127,-0.331865225966667,-0.330777677719298,-0.361550815275789,-0.297804539636842,-0.303426035718333,-0.294046976864,-0.33714521605614,-0.33701312786,-0.337709692216667,-0.34641772477,-0.339906693673333,-0.312150942287719,-0.348871644105263,-0.335689162683333,-0.343568513043333,-0.310063845701754,-0.3101059394625,-0.316515008131667,-0.338877545719298,-0.3489661721,-0.353450373483333,-0.296792550298246,-0.336547801774386,-0.29944457315,-0.30639980356,-0.257510791282456,-0.348844232501667,-0.338314764983333,-0.341311072857895,-0.315900313866667,-0.33607184089,-0.345608734533333,-0.342327125175,-0.325899627922807,-0.331497864683333,-0.326885313183333,-0.351027777927018,-0.304992352076667,-0.345480323025,-0.29104147955,-0.299405641757833,-0.295032912070175,-0.320246893066667,-0.3560238705,-0.348746583754386,-0.31115709815,-0.346735749716667,-0.293255545691667,-0.311757414376667,-0.283082408624561,-0.301046894956667,-0.336347970483333,-0.347428496035088,-0.306371033345,-0.333904387063333,-0.3296162355,-0.3309710154,-0.293599106122807,-0.360584008653333,-0.333788870491667,-0.349748818403509
